Designator,Mid X,Mid Y,Rotation,Layer
C1,52.372882,-53.563717,270.0,top
C2,52.372882,-56.616686,90.0,top
IR+,69.0,-75.0,270.0,bottom
IR-,52.0,-75.0,90.0,bottom
JP1,60.484085,-71.519099,180.0,top
JP2,60.484085,-68.663499,180.0,top
Q1,58.448714,-63.935753,180.0,top
Q2,52.854747,-64.325441,90.0,top
Q3,68.303463,-73.446925,180.0,top
Q4,68.303463,-69.829425,0.0,top
R1,61.288925,-64.259266,90.0,top
R2,55.65764,-62.732781,90.0,top
R3,60.274148,-61.364188,180.0,top
R4,60.274148,-59.485438,0.0,top
R5,54.836411,-72.243953,90.0,top
R6,54.836411,-69.190984,90.0,top
R7,68.838394,-76.159344,180.0,top
